id,stateName,shortName,x,y,gridCol,gridRow,,,,,,,,,,,,,,,,,,
1,Alabama,Ala,-86.8265,32.7931,6,6,,,,,,,,,,,,,,,,,,
2,Alaska,Als,-152.6713,64.5612,1,7,,,,,,,col,,,,,,,,,,,
4,Arizona,Ari,-111.6647,34.2925,2,5,,,,,,row,1,2,3,4,5,6,7,8,9,10,11,12
5,Arkansas,Ark,-92.4393,34.9027,5,5,,,,,,1,,,,,,,,,,,NH,Maine
6,California,Cal,-119.6105,37.2543,1,4,,,,,,2,Was,Ida,Mon,ND,Minn,Wis,Mic,,,NY,Ver,Mass
8,Colorado,Col,-105.5484,38.9987,3,4,,,,,,3,Ore,Utah,Wy,SD,Iowa,Ill,India,Ohio,Penn,NJ,Con,RI
9,Connecticut,Con,-72.7204,41.6239,11,3,,,,,,4,Cal,Nev,Col,Neb,Kan,Missou,Kent,WV,Mar,Del,,
10,Delaware,Del,-75.5021,38.9828,10,4,,,,,,5,,Ari,NM,Ok,Ark,Missou,Tenn,Vir,DC,,,
11,District of Colu,DC,-77.0135,38.8966,9,5,,,,,,6,,,,Texas,Lou,Ala,Geo,SC,NC,,,
12,Florida,Flo,-82.5063,28.6604,8,7,,,,,,7,AK,,,,,,,Fl,,,,
13,Georgia,Geo,-83.4643,32.6602,7,6,,,,,,8,HW,,,,,,,,,,,
15,Hawaii,Haw,-155.5208,19.5967,1,8,,,,,,,,,,,,,,,,,,
16,Idaho,Ida,-114.6605,44.39,2,2,,,,,,,,,,,,,,,,,,
17,Illinois,Ill,-89.1972,40.0634,6,3,,,,,,,,,,,,,,,,,,
18,Indiana,Ind,-86.2751,39.9111,7,3,,,,,,,,,,,,,,,,,,
19,Iowa,Iowa,-93.4999,42.0743,5,3,,,,,,,,,,,,,,,,,,
20,Kansas,Kan,-98.3811,38.4843,5,4,,,,,,,,,,,,,,,,,,
21,Kentucky,Ken,-85.2919,37.5269,7,4,,,,,,,,,,,,,,,,,,
22,Louisiana,Lou,-92.0149,31.0846,5,6,,,,,,,,,,,,,,,,,,
23,Maine,Mai,-69.2386,45.3928,12,1,,,,,,,,,,,,,,,,,,
24,Maryland,Mar,-76.8021,39.0582,9,4,,,,,,,,,,,,,,,,,,
25,Massachusetts,Mass,-71.84,42.2726,12,2,,,,,,,,,,,,,,,,,,
26,Michigan,Mic,-84.6263,43.4847,7,2,,,,,,,,,,,,,,,,,,
27,Minnesota,Minn,-94.3108,46.3167,5,2,,,,,,,,,,,,,,,,,,
28,Mississippi,Miss,-89.6692,32.7529,6,5,,,,,,,,,,,,,,,,,,
29,Missouri,Miso,-92.478,38.3688,6,4,,,,,,,,,,,,,,,,,,
30,Montana,Mon,-109.6452,47.0333,3,2,,,,,,,,,,,,,,,,,,
31,Nebraska,Neb,-99.81,41.5277,4,4,,,,,,,,,,,,,,,,,,
32,Nevada,Nev,-116.655,39.3542,2,4,,,,,,,,,,,,,,,,,,
33,New Hampshire,NH,-71.5759,43.682,11,1,,,,,,,,,,,,,,,,,,
34,New Jersey,NJ,-74.6722,40.1997,10,3,,,,,,,,,,,,,,,,,,
35,New Mexico,NM,-106.1092,34.4207,3,5,,,,,,,,,,,,,,,,,,
36,New York,NY,-75.5855,43.0171,10,2,,,,,,col,,,,,,,,,,,,
37,North Carolina,NC,-79.4038,35.5426,9,6,,,,,row,1,2,3,4,5,6,7,8,9,10,11,12,
38,North Dakota,ND,-100.4703,47.4462,4,2,,,,,1,,,,,,,,,,,NH,Maine,
39,Ohio,Ohio,-82.7889,40.2902,8,3,,,,,2,Was,Ida,Mon,ND,Minn,Wis,Mic,,,NY,Ver,Mass,
40,Oklahoma,Okl,-97.5081,35.5828,4,5,,,,,3,Ore,Utah,Wy,SD,Iowa,Ill,India,Ohio,Penn,NJ,Con,RI,
41,Oregon,Org,-120.5555,43.9352,1,3,,,,,4,Cal,Nev,Col,Neb,Kan,Missou,Kent,WV,Mar,Del,,,
42,Pennsylvania,Pen,-77.8008,40.8728,9,3,,,,,5,,Ari,NM,Ok,Ark,Missou,Tenn,Vir,DC,,,,
44,Rhode Island,RI,-71.5933,41.6953,12,3,,,,,6,,,,Texas,Lou,Ala,Geo,SC,NC,,,,
45,South Carolina,SC,-80.9028,33.9354,8,6,,,,,7,AK,,,,,,,Fl,,,,,
46,South Dakota,SD,-100.2332,44.437,4,3,,,,,8,HW,,,,,,,,,,,,
47,Tennessee,Ten,-86.3398,35.8438,7,5,,,,,,,,,,,,,,,,,,
48,Texas,Tex,-99.3605,31.4975,4,6,,,,,,,,,,,,,,,,,,
49,Utah,Utah,-111.6785,39.3238,2,3,,,,,,,,,,,,,,,,,,
50,Vermont,Ver,-72.6602,44.0766,11,2,,,,,,,,,,,,,,,,,,
51,Virginia,Vir,-78.8978,37.5156,8,5,,,,,,,,,,,,,,,,,,
53,Washington,Was,-120.4264,47.3747,1,2,,,,,,,,,,,,,,,,,,
54,West Virginia,WV,-80.6183,38.6384,8,4,,,,,,,,,,,,,,,,,,
55,Wisconsin,Wis,-90.014,44.6331,6,2,,,,,,,,,,,,,,,,,,
56,Wyoming,Wy,-107.5508,42.9988,3,3,,,,,,,,,,,,,,,,,,
